0,true,prediction by hmm,prediction with our model,sentence
0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['four', 'alternative', 'approaches', 'have', 'been', 'described', ',', 'and', 'many', 'others', 'could', 'be', 'listed', '.']"
1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'wanted', 'to', 'say', ',', 'you', 'see', ',', 'that', 'i', 'know', 'you', 'thought', 'frannie', 'should', ""n't"", 'have', 'gone', ',', 'and', 'that', 'it', ""'s"", 'ruined', 'your', 'holiday', 'plans', ',', 'and', ',', 'on', 'behalf', 'of', 'us', 'all', ',', 'i', ""'m"", 'sorry', '.']"
2,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'one', 'with', 'you', 'chop', 'the', 'chop', 'and', 'then', 'there', 'will', 'be', 'squares']"
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]","['given', 'that', 'most', 'gis', 'are', 'rather', 'dumb', 'systems', ',', 'requiring', 'intelligent', ',', 'very', 'computer', 'literate', 'users', ',', 'managing', 'natural', 'and', 'technological', 'hazards', 'means', 'that', 'this', 'knowledge', 'base', 'must', 'be', 'built', 'into', 'the', 'system', 'so', 'that', 'it', 'can', 'be', 'utilized', 'quickly', 'by', 'untrained', 'users', 'after', 'a', 'disaster', 'has', 'taken', 'place', 'or', 'in', 'an', 'emergency', '.']"
4,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['lacking', 'a', 'goal', 'that', 'might', 'have', 'altered', 'its', 'chemistry', ',', 'it', 'remained', 'a', 'matter', 'of', 'dull', 'physics', '.']"
5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0]","['equally', 'intriguing', 'will', 'be', 'the', 'line-out', 'performance', 'of', 'the', 'young', 'london', 'irish', 'lock', ',', 'neil', 'francis', ',', 'who', 'has', 'been', 'left', 'out', 'of', 'the', 'current', 'ireland', 'squad', '.']"
6,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","['thus', ',', 'wherever', 'one', 'looks', ',', 'one', 'finds', 'people', 'engaged', 'in', 'the', 'construction', 'of', 'the', 'blocks', 'that', 'will', 'make', 'up', 'the', 'palestinian', 'state', '.']"
7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","['as', 'for', 'his', 'colleagues', ',', 'mr', 'smith', 'said', ':', 'we', ""'re"", 'all', 'agreed', 'that', 'we', 'can', 'not', 'spend', 'what', 'we', 'have', 'not', 'earned', 'and', 'we', 'intend', 'to', 'earn', 'it', 'before', 'we', 'spend', 'it', '.']"
8,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['the', 'red', 'and', 'green', 'of', 'the', 'aztec', 'necklace', 'links', 'it', 'compositionally', 'with', 'the', 'indigenous', 'plants', 'to', 'the', 'south', 'of', 'the', 'painting', ',', 'the', 'pink', 'colonial-style', 'dress', 'tonally', 'blending', 'with', 'the', 'skyscrapers', 'to', 'the', 'north', '.']"
9,"[0, 0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0]","['jesus', 'wept', '!', 'he', 'continued', ',', 'hackles', 'rising', '.']"
